"date_sold","region","suburb","property_type","price","weekly_household","estimated_annual_household","affordability_ratio","km_from_cbd","num_bed","num_bath","num_parking","property_size"
"17/11/21","North Shore","Ryde","House","3200000","2024","105248","30.4","10.92","3","1","1","312"
"17/11/21","Inner West","Burwood","House","2110000","1671","86892","24.28","9.9","4","2","2","392"
"17/11/21","Inner West","Annandale","House","1825000","2683","139516","13.08","4.06","2","2","0","183"
"18/11/21","North Shore","Eastwood","House","3060000","1945","101140","30.26","14.34","4","3","2","1012"
"18/11/21","Inner West","Annandale","House","2500000","2683","139516","17.92","4.06","2","1","2","215"
"18/11/21","North Shore","Eastwood","House","2470000","1945","101140","24.42","14.34","4","2","2","714"
"18/11/21","Inner West","Marrickville","House","2320000","2170","112840","20.56","7.23","3","2","2","158"
"18/11/21","North Shore","Carlingford","House","2257500","2084","108368","20.83","18.2","4","2","2","740"
"18/11/21","North Shore","Carlingford","House","1895000","2084","108368","17.49","18.2","4","2","1","534"
"18/11/21","Inner West","Annandale","House","1800000","2683","139516","12.9","4.06","2","1","1","152"
"19/11/21","Inner West","Leichhardt","House","2260000","2673","138996","16.26","5.31","2","1","1","310"
"19/11/21","Inner West","Marrickville","House","2000000","2170","112840","17.72","7.23","3","1","1","240"
"19/11/21","South / St George","Miranda","House","1900000","1920","99840","19.03","20.95","4","1","2","600"
"19/11/21","CBD & Inner City","Surry Hills","Apartment / Unit / Flat","1760000","2308","120016","14.66","2.14","2","2","1","99"
"19/11/21","South / St George","Miranda","House","1640000","1920","99840","16.43","20.95","3","2","2","588"
"20/11/21","Inner West","Ashfield","House","3700000","1888","98176","37.69","8.08","4","2","3","716"
"20/11/21","North Shore","Eastwood","House","3050000","1945","101140","30.16","14.34","5","4","1","582"
"20/11/21","North Shore","Eastwood","House","2715000","1945","101140","26.84","14.34","3","1","1","756"
"20/11/21","North Shore","Ryde","House","2555000","2024","105248","24.28","10.92","3","1","3","714"
"20/11/21","Inner South","Alexandria","House","2030000","2654","138008","14.71","5.06","3","2","1","208"
"20/11/21","North Shore","Epping","House","2000000","2243","116636","17.15","15.95","4","2","2","689"
"20/11/21","South / St George","Arncliffe","House","1765000","2046","106392","16.59","10.09","4","1","2","696"
"20/11/21","Western Sydney","Parramatta","House","1620000","2092","108784","14.89","19.44","3","2","2","481"
"20/11/21","Western Sydney","Parramatta","House","1455500","2092","108784","13.38","19.44","3","1","1","594"
"22/11/21","North Shore","Eastwood","House","4360000","1945","101140","43.11","14.34","4","2","1","1467"
"22/11/21","Inner West","Burwood","House","2390000","1671","86892","27.51","9.9","3","1","2","423"
"22/11/21","North Shore","Carlingford","House","2125000","2084","108368","19.61","18.2","4","2","2","1037"
"22/11/21","South / St George","Hurstville","House","1800000","1804","93808","19.19","14.81","6","3","2","572"
"22/11/21","South / St George","Miranda","Apartment / Unit / Flat","1320000","1920","99840","13.22","20.95","4","2","2","220"
"23/11/21","CBD & Inner City","Surry Hills","House","2330000","2308","120016","19.41","2.14","4","1","2","113"
"23/11/21","Inner South","Mascot","House","1200000","2254","117208","10.24","9.35","2","1","0","164"
"24/11/21","North Shore","Ryde","House","2810000","2024","105248","26.7","10.92","3","1","1","727"
"24/11/21","Inner West","Annandale","House","2750000","2683","139516","19.71","4.06","3","1","1","371"
"24/11/21","North Shore","Ryde","House","2745000","2024","105248","26.08","10.92","3","1","3","696"
"24/11/21","South / St George","Arncliffe","House","1900000","2046","106392","17.86","10.09","3","2","3","697"
"24/11/21","North Shore","Chatswood","Apartment / Unit / Flat","1785000","2158","112216","15.91","8.15","2","2","1","90"
"25/11/21","Inner West","Leichhardt","House","2250000","2673","138996","16.19","5.31","3","2","0","246"
"26/11/21","Inner West","Annandale","House","3700000","2683","139516","26.52","4.06","4","4","2","310"
"26/11/21","South / St George","Arncliffe","House","2125000","2046","106392","19.97","10.09","4","2","2","367"
"26/11/21","CBD & Inner City","Sydney","Apartment / Unit / Flat","1300000","2227","115804","11.23","0.31","3","2","1","120"
"26/11/21","Inner South","Alexandria","Apartment / Unit / Flat","1060000","2654","138008","7.68","5.06","3","2","2","126"
"26/11/21","Inner West","Burwood","Apartment / Unit / Flat","1005000","1671","86892","11.57","9.9","2","2","2","134"
"27/11/21","North Shore","Epping","House","2565000","2243","116636","21.99","15.95","4","3","2","967"
"27/11/21","North Shore","Ryde","House","2450000","2024","105248","23.28","10.92","4","2","1","486"
"27/11/21","North Shore","Ryde","House","2400000","2024","105248","22.8","10.92","4","3","2","667"
"27/11/21","North Shore","Carlingford","House","2225000","2084","108368","20.53","18.2","6","3","2","740"
"27/11/21","North Shore","Ryde","House","2170000","2024","105248","20.62","10.92","3","2","1","474"
"27/11/21","North Shore","Carlingford","House","2100000","2084","108368","19.38","18.2","4","2","2","784"
"27/11/21","South / St George","Hurstville","House","1533000","1804","93808","16.34","14.81","3","1","2","455"
"27/11/21","South / St George","Arncliffe","House","1400000","2046","106392","13.16","10.09","3","2","2","347"
"27/11/21","South / St George","Arncliffe","House","1350000","2046","106392","12.69","10.09","3","3","2","461"
"28/11/21","Inner South","Zetland","House","1978000","2192","113984","17.35","4.72","2","1","1","152"
"29/11/21","North Shore","Epping","House","2730000","2243","116636","23.41","15.95","4","2","2","1069"
"29/11/21","North Shore","Epping","House","2040000","2243","116636","17.49","15.95","4","1","2","708"
"29/11/21","Inner South","Zetland","Apartment / Unit / Flat","1450000","2192","113984","12.72","4.72","2","2","1","182"
"30/11/21","Inner West","Leichhardt","House","1800000","2673","138996","12.95","5.31","2","2","0","215"
"30/11/21","South / St George","Hurstville","House","1780000","1804","93808","18.97","14.81","3","1","1","531"
"30/11/21","Inner South","Mascot","House","1710000","2254","117208","14.59","9.35","3","1","0","351"
